"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"File.Edit","=","","4","1676049017304","test3.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","=",,"5","1676049017305","test3.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"X-Action","Creating file /Users/edwards/PycharmProjects/correspondence/test4.py",,,"1676049024753","test3.py","1.1.5 for 2021-2022 @t1",,"Creating file /Users/edwards/PycharmProjects/correspondence/test4.py",,,,,
"File.Edit","f","","0","1676049025684","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"1","1676049025685","test4.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"File.Edit","o","","1","1676049025785","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"2","1676049025786","test4.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","r","","2","1676049025864","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"3","1676049025865","test4.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit"," ","","3","1676049027004","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"4","1676049027005","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","i","","4","1676049027213","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"5","1676049027214","test4.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit"," ","","5","1676049027293","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"6","1676049027294","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","i","","6","1676049027445","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"7","1676049027445","test4.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","7","1676049027522","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"8","1676049027522","test4.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit"," ","","8","1676049027593","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"9","1676049027594","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","f",,"1","1676049025685","test4.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke","o",,"2","1676049025786","test4.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","r",,"3","1676049025865","test4.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke"," ",,"4","1676049027005","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","i",,"5","1676049027214","test4.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke"," ",,"6","1676049027294","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","i",,"7","1676049027445","test4.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"8","1676049027522","test4.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke"," ",,"9","1676049027593","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","j",,"10","1676049027856","test4.py","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Keystroke",":",,"11","1676049028235","test4.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"File.Edit","j","","9","1676049027855","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","j",,"10","1676049027856","test4.py","1.1.5 for 2021-2022 @t1",,"j",,,,,
"File.Edit",":","","10","1676049028234","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"11","1676049028235","test4.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Action","Enter",,,"1676049028535","test4.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","11","1676049028543","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","12","1676049028552","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",";","","16","1676049028824","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",";",,"17","1676049028825","test4.py","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Keystroke",";",,"17","1676049028825","test4.py","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Action","Backspace",,,"1676434574791","test4.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",";","16","1676434574886","test4.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","p","","16","1676434575621","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"17","1676434575626","test4.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","p",,"17","1676434575626","test4.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","17","1676434578898","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"18","1676434578916","test4.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","18","1676434578999","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"19","1676434579010","test4.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","19","1676434579042","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"20","1676434579053","test4.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","20","1676434579103","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"21","1676434579109","test4.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","(","","21","1676434580923","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","22","1676434580932","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"22","1676434580936","test4.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke","r",,"18","1676434578916","test4.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"19","1676434579010","test4.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"20","1676434579053","test4.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"21","1676434579109","test4.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","(",,"22","1676434580936","test4.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"File.Edit","'","","22","1676434582728","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","'","","23","1676434582737","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","'",,"23","1676434582738","test4.py","1.1.5 for 2021-2022 @t1",,"'",,,,,
"File.Edit","h","","23","1676434583643","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"24","1676434583644","test4.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"File.Edit","e","","24","1676434583736","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"25","1676434583736","test4.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit","l","","25","1676434583871","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"26","1676434583871","test4.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"File.Edit","l","","26","1676434584018","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"27","1676434584019","test4.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"File.Edit","o","","27","1676434584173","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"28","1676434584174","test4.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit"," ","","28","1676434584318","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"29","1676434584319","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","w","","29","1676434584513","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","w",,"30","1676434584514","test4.py","1.1.5 for 2021-2022 @t1",,"w",,,,,
"File.Edit","o","","30","1676434584623","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"31","1676434584624","test4.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","r","","31","1676434584734","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"32","1676434584735","test4.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","l","","32","1676434584811","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"33","1676434584812","test4.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"File.Edit","d","","33","1676434584884","test4.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"34","1676434584884","test4.py","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Keystroke","'",,"23","1676434582738","test4.py","1.1.5 for 2021-2022 @t1",,"'",,,,,
"X-Keystroke","h",,"24","1676434583644","test4.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"X-Keystroke","e",,"25","1676434583736","test4.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke","l",,"26","1676434583871","test4.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke","l",,"27","1676434584019","test4.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke","o",,"28","1676434584174","test4.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke"," ",,"29","1676434584319","test4.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","w",,"30","1676434584514","test4.py","1.1.5 for 2021-2022 @t1",,"w",,,,,
"X-Keystroke","o",,"31","1676434584623","test4.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","r",,"32","1676434584735","test4.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","l",,"33","1676434584812","test4.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke","d",,"34","1676434584884","test4.py","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Action","Creating file /Users/edwards/PycharmProjects/correspondence/test5.py",,,"1676564453725","test4.py","1.1.5 for 2021-2022 @t1",,"Creating file /Users/edwards/PycharmProjects/correspondence/test5.py",,,,,
"File.Edit","a","","0","1676564457498","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"1","1676564457500","test5.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","a",,"1","1676564457499","test5.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","i","","0","1676564460864","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"1","1676564460921","test5.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","f","","1","1676564461194","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"2","1676564461218","test5.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"File.Edit"," ","","2","1676564461652","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"3","1676564461652","test5.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Right",,,"1676564462542","test5.py","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"File.Edit",";","","4","1676564463566","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",";",,"5","1676564463568","test5.py","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Keystroke","i",,"1","1676564460921","test5.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","f",,"2","1676564461218","test5.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke"," ",,"3","1676564461652","test5.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke",";",,"5","1676564463568","test5.py","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Action","Backspace",,,"1676564464432","test5.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",";","4","1676564464442","test5.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit",":","","4","1676564464911","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"5","1676564464912","test5.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Action","Enter",,,"1676564466165","test5.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","5","1676564466186","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","6","1676564466201","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"5","1676564464912","test5.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Keystroke","b",,"11","1676564468498","test5.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"File.Edit","b","","10","1676564468498","test5.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","b",,"11","1676564468499","test5.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Action","Creating file /Users/edwards/PycharmProjects/correspondence/test6.py",,,"1676572207018","test5.py","1.1.5 for 2021-2022 @t1",,"Creating file /Users/edwards/PycharmProjects/correspondence/test6.py",,,,,
"File.Edit","a","","0","1676572210552","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"1","1676572210555","test6.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","i","","0","1676572212833","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"1","1676572212858","test6.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","a",,"1","1676572210554","test6.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","i",,"1","1676572212858","test6.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","g","","1","1676572214092","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","g",,"2","1676572214106","test6.py","1.1.5 for 2021-2022 @t1",,"g",,,,,
"X-Action","Backspace",,,"1676572214804","test6.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","g","1","1676572214811","test6.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","f","","1","1676572215664","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"2","1676572215679","test6.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke","g",,"2","1676572214106","test6.py","1.1.5 for 2021-2022 @t1",,"g",,,,,
"X-Keystroke","f",,"2","1676572215678","test6.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke"," ",,"3","1676572217108","test6.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","2","1676572217107","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"3","1676572217108","test6.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Right",,,"1676572218325","test6.py","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"File.Edit",";","","4","1676572219052","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",";",,"5","1676572219053","test6.py","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Action","Backspace",,,"1676572219413","test6.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",";","4","1676572219418","test6.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit",":","","4","1676572219907","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"5","1676572219907","test6.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Keystroke",";",,"5","1676572219053","test6.py","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Keystroke",":",,"5","1676572219907","test6.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Action","Enter",,,"1676572221745","test6.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","5","1676572221752","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","6","1676572221761","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","b","","10","1676572222436","test6.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","b",,"11","1676572222437","test6.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Keystroke","b",,"11","1676572222437","test6.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Action","Creating file /Users/edwards/PycharmProjects/correspondence/test7.py",,,"1676667172347","test6.py","1.1.5 for 2021-2022 @t1",,"Creating file /Users/edwards/PycharmProjects/correspondence/test7.py",,,,,
"X-Keystroke","a",,"1","1676667176106","test7.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","(",,"2","1676667177014","test7.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"3","1676667178679","test7.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"File.Edit","a","","0","1676667176105","test7.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"1","1676667176106","test7.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","(","","1","1676667177007","test7.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","2","1676667177014","test7.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"2","1676667177014","test7.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke",")",,"3","1676667178679","test7.py","1.1.5 for 2021-2022 @t1",,")",,,,,
"X-Action","Left",,,"1676667179569","test7.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"File.Edit","b","","2","1676667179898","test7.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","b",,"3","1676667179899","test7.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Keystroke","b",,"3","1676667179899","test7.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"File.Edit","c","","3","1676667184570","test7.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","c",,"4","1676667184584","test7.py","1.1.5 for 2021-2022 @t1",,"c",,,,,
"X-Keystroke","c",,"4","1676667184584","test7.py","1.1.5 for 2021-2022 @t1",,"c",,,,,
"X-Action","Creating file /Users/edwards/PycharmProjects/correspondence/test8.py",,,"1676667193181","test7.py","1.1.5 for 2021-2022 @t1",,"Creating file /Users/edwards/PycharmProjects/correspondence/test8.py",,,,,
"File.Edit","i","","0","1676667195867","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"1","1676667195868","test8.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","f","","1","1676667195950","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"2","1676667195950","test8.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke","i",,"1","1676667195868","test8.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","f",,"2","1676667195950","test8.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke"," ",,"3","1676667196620","test8.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","a",,"4","1676667197006","test8.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke",":",,"5","1676667197402","test8.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"File.Edit"," ","","2","1676667196619","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"3","1676667196620","test8.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","3","1676667197005","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"4","1676667197006","test8.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit",":","","4","1676667197402","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"5","1676667197403","test8.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Action","Move Caret to Line Start",,,"1676667198436","test8.py","1.1.5 for 2021-2022 @t1",,"Move Caret to Line Start",,,,,
"X-Action","Enter",,,"1676667198913","test8.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","0","1676667198919","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1676667199504","test8.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","0","1676667199512","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Up",,,"1676667199833","test8.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Action","Up",,,"1676667199950","test8.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"File.Edit","i","","0","1676667200701","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"1","1676667200702","test8.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","m","","1","1676667200833","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"2","1676667200860","test8.py","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit"," ","","2","1676667200957","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"3","1676667200958","test8.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1676667201426","test8.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","2","1676667201436","test8.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","p","","2","1676667201688","test8.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
